,Protein1,Protein2,Interacting
7364,P53886,P27796,0
7365,P53886,Q03824,0
7366,P57743,Q05871,0
7367,P57743,P53184,0
7368,P47093,Q12405,0
7369,P47093,Q05871,0
7370,P53905,Q04370,0
7371,P53905,Q04370,0
7372,P53905,P53112,0
7373,P40070,P38137,0
7374,P40070,Q08215,0
7375,P40070,P23542,0
7376,P40070,Q03824,0
7377,P40070,Q12527,0
7378,P40070,P29340,0
7379,Q05541,P29340,0
7380,Q05541,P50091,0
7381,P32628,Q12527,0
7382,P32628,Q08215,0
7383,P32628,P50091,0
7384,P32628,Q12405,0
7385,P34223,P80667,0
7386,P34223,P38137,0
7387,P34223,Q05871,0
7388,P34223,P53184,0
7389,P34223,Q04370,0
7390,P34223,P39108,0
7391,P34223,Q03824,0
7392,P34223,P53112,0
7393,P40208,P29340,0
7394,P40208,P27796,0
7395,P40208,P80667,0
7396,P40208,Q05871,0
7397,P40208,P41903,0
7398,P40026,P50091,0
7399,P40026,P23542,0
7400,P40026,P53184,0
7401,P40026,P27796,0
7402,P36037,Q03824,0
7403,P36037,P50091,0
7404,P36037,P50091,0
7405,P36037,P80667,0
7406,P36037,P39718,0
7407,P25569,Q08215,0
7408,P25569,P27796,0
7409,P25569,Q03824,0
7410,P40547,P23542,0
7411,P40547,P29340,0
7412,P40547,P23542,0
7413,P40547,P53184,0
7414,P40547,P39108,0
7415,P53076,Q12405,0
7416,P53076,Q03824,0
7417,P53076,Q05871,0
7418,P09938,P41903,0
7419,P09938,P39718,0
7420,P09938,P39718,0
7421,Q03018,P50091,0
7422,Q03018,P38137,0
7423,Q03018,P39108,0
7424,Q03018,Q05871,0
7425,P38170,Q03824,0
7426,P38170,Q12405,0
7427,P38170,Q12527,0
7428,P34160,Q08215,0
7429,P34160,P80667,0
7430,P34160,Q12527,0
7431,P32504,Q12527,0
7432,P32504,P39108,0
7433,P32504,P39718,0
7434,P32504,Q05871,0
7435,P36094,Q05871,0
7436,P36094,Q04370,0
7437,P09547,P29340,0
7438,P09547,P27796,0
7439,P09547,P50091,0
7440,P09547,P53184,0
7441,P49687,P39718,0
7442,P49687,P29340,0
7443,P49687,Q03824,0
7444,Q92328,P27796,0
7445,Q92328,Q04370,0
7446,Q92328,P53112,0
7447,Q07807,P53184,0
7448,Q07807,P53112,0
7449,Q07807,P39718,0
7450,P36130,P29340,0
7451,P36130,Q12527,0
7452,P36130,P27796,0
7453,P36130,Q03824,0
7454,P47025,P29340,0
7455,P47025,Q04370,0
7456,P47025,Q12527,0
7457,P47025,P39718,0
7458,P47025,Q08215,0
7459,P08417,Q04370,0
7460,P08417,P27796,0
7461,P08417,P53184,0
7462,Q08686,Q12405,0
7463,Q08686,P29340,0
7464,Q08686,P29340,0
7465,Q08686,P41903,0
7466,Q08686,P23542,0
7467,Q08686,P41903,0
7468,Q08686,Q05871,0
7469,Q01574,P29340,0
7470,Q01574,Q05871,0
7471,Q01574,P53184,0
7472,Q01574,P41903,0
7473,Q01574,P41903,0
7474,P25694,Q12527,0
7475,P25694,P23542,0
7476,P25694,P39108,0
7477,P25694,P38137,0
7478,P25694,Q05871,0
7479,P25694,P41903,0
7480,P14359,P53112,0
7481,P14359,Q12527,0
7482,P14359,Q05871,0
7483,P14359,Q12527,0
7484,P14359,P39718,0
7485,Q12530,P53112,0
7486,Q12530,P23542,0
7487,Q12530,P39718,0
7488,Q12530,Q04370,0
7489,Q12530,P50091,0
7490,P00724,Q12405,0
7491,P00724,P39108,0
7492,P00724,P41903,0
7493,P00724,Q04370,0
7494,P00724,Q12405,0
7495,Q01532,P50091,0
7496,Q01532,Q05871,0
7497,Q01532,P38137,0
7498,Q06385,Q08215,0
7499,Q06385,P27796,0
7500,P40107,P41903,0
7501,P40107,P53184,0
7502,P40107,P39718,0
7503,P40107,P53184,0
7504,P40107,P80667,0
7505,P53271,P23542,0
7506,P53271,P39718,0
7507,P53271,P53184,0
7508,P47064,Q12405,0
7509,P47064,P53112,0
7510,P47064,P27796,0
7511,P47064,Q03824,0
7512,P47064,Q05871,0
7513,P46682,P53184,0
7514,P46682,Q08215,0
7515,P46682,Q03824,0
7516,Q08951,P29340,0
7517,Q08951,Q12405,0
7518,Q08951,Q12405,0
7519,P38153,P53112,0
7520,P38153,Q05871,0
7521,P38153,P41903,0
7522,P38753,P53184,0
7523,P38753,P38137,0
7524,P38753,Q05871,0
7525,P38753,P23542,0
7526,P40343,P53112,0
7527,P40343,Q03824,0
7528,P40343,Q04370,0
7529,P40343,P50091,0
7530,P41806,Q05871,0
7531,P41806,P27796,0
7532,P41806,P23542,0
7533,P32916,P27796,0
7534,P32916,P39718,0
7535,P32916,Q05871,0
7536,P32916,Q08215,0
7537,P32916,P41903,0
7538,P48415,Q03824,0
7539,P48415,P27796,0
7540,P48415,P29340,0
7541,P16603,P53184,0
7542,P16603,P50091,0
7543,P32913,P38137,0
7544,P32913,Q05871,0
7545,P32913,P39718,0
7546,P32913,P53184,0
7547,P38261,P80667,0
7548,P38261,Q04370,0
7549,P38261,Q12405,0
7550,P38261,P29340,0
7551,P38261,Q08215,0
7552,P38261,P39718,0
7553,P07560,Q04370,0
7554,P07560,P39718,0
7555,P07560,P53112,0
7556,P07560,Q12405,0
7557,P19658,P27796,0
7558,P38182,Q03824,0
7559,P38182,P39108,0
7560,P38182,P53184,0
7561,P38182,P27796,0
7562,P38182,P53184,0
7563,P38182,P38137,0
7564,Q04491,Q05871,0
7565,Q04491,P53184,0
7566,Q04491,Q08215,0
7567,Q04491,Q12405,0
7568,Q04491,P39718,0
7569,P20606,P39718,0
7570,P20606,P23542,0
7571,P20606,Q03824,0
7572,P38968,P41903,0
7573,P38968,Q05871,0
7574,P38968,P27796,0
7575,P38968,P38137,0
7576,P38968,P39718,0
7577,P15303,P39718,0
7578,P15303,P39108,0
7579,P15303,Q03824,0
7580,P15303,Q05871,0
7581,P38263,Q12405,0
7582,P38263,P29340,0
7583,P38263,P53112,0
7584,P38263,P80667,0
7585,P38263,P39108,0
7586,P46951,P27796,0
7587,Q03308,P23542,0
7588,Q03308,P50091,0
7589,Q03308,Q12405,0
7590,P38862,P39718,0
7591,P38862,P53184,0
7592,P38862,P39108,0
7593,P38862,P29340,0
7594,P38862,P29340,0
7595,P38862,P38137,0
7596,P47112,P39718,0
7597,P47112,Q12527,0
7598,P47112,Q12405,0
7599,P47112,Q08215,0
7600,P47112,P29340,0
7601,P32357,P39718,0
7602,P32357,P80667,0
7603,P32357,P53184,0
7604,P32357,P29340,0
7605,Q03497,P29340,0
7606,Q03497,Q08215,0
7607,Q03497,P23542,0
7608,Q03497,Q03824,0
7609,P39984,P39108,0
7610,P39984,Q08215,0
7611,P39984,P23542,0
7612,P39984,P50091,0
7613,P40084,Q05871,0
7614,P40084,P39108,0
7615,P40084,P27796,0
7616,P40084,P27796,0
7617,P40084,Q03824,0
7618,P40084,P27796,0
7619,P41920,Q05871,0
7620,P41920,P29340,0
7621,P41920,P41903,0
7622,P31539,Q05871,0
7623,P31539,P53112,0
7624,P31539,P80667,0
7625,P31539,P50091,0
7626,P30771,Q12527,0
7627,P30771,P27796,0
7628,Q05583,P39718,0
7629,Q05583,Q05871,0
7630,Q05583,P80667,0
7631,Q05583,P53112,0
7632,Q05583,P39108,0
7633,Q05583,P23542,0
7634,P04147,P38137,0
7635,P04147,Q04370,0
7636,P04147,Q04370,0
7637,P40160,P50091,0
7638,P40160,Q12527,0
7639,P40160,P39108,0
7640,P40160,P29340,0
7641,P40160,Q12527,0
7642,P40160,P38137,0
7643,P36421,Q12405,0
7644,P36421,P23542,0
7645,Q04377,P53112,0
7646,Q04377,P53184,0
7647,Q04377,P53184,0
7648,Q04377,P50091,0
7649,Q07688,P53184,0
7650,Q07688,P38137,0
7651,P32318,P41903,0
7652,P32318,P38137,0
7653,P32318,P53184,0
7654,P32318,P23542,0
7655,P32318,Q08215,0
7656,P07278,Q12405,0
7657,P07278,P38137,0
7658,P07278,Q03824,0
7659,P07278,P80667,0
7660,P07278,P41903,0
7661,P25644,Q08215,0
7662,P25644,P29340,0
7663,P25644,Q08215,0
7664,P25644,P41903,0
7665,P25644,P39108,0
7666,P40484,P29340,0
7667,P40484,Q12405,0
7668,Q02793,P27796,0
7669,Q02793,P53184,0
7670,Q02793,P23542,0
7671,Q02793,P53112,0
7672,Q02793,P53112,0
7673,P25293,P29340,0
7674,P25293,P29340,0
7675,P25293,P80667,0
7676,P25293,Q12405,0
7677,P25293,P41903,0
7678,P25293,Q03824,0
7679,P40554,P38137,0
7680,P40554,P41903,0
7681,P53082,P41903,0
7682,P53082,P29340,0
7683,P53082,P41903,0
7684,P53082,P50091,0
7685,P40565,Q12405,0
7686,P40565,P29340,0
7687,P53112,Q08001,0
7688,P53112,P32318,0
7689,P53112,P32600,0
7690,P53112,P41318,0
7691,P53112,Q12380,0
7692,P29496,Q12324,0
7693,P29496,Q12380,0
7694,P29496,P32318,0
7695,P29496,Q03308,0
7696,P29496,P38316,0
7697,P34078,P17255,0
7698,P34078,Q12255,0
7699,P19880,Q08001,0
7700,P19880,P17255,0
7701,P19880,P32913,0
7702,P19880,P20795,0
7703,P19880,Q12324,0
7704,P19880,Q04272,0
7705,P25298,Q02948,0
7706,P25298,P38316,0
7707,P25298,P32600,0
7708,P43563,Q12527,0
7709,P43563,P00729,0
7710,P43563,Q02725,0
7711,Q99257,Q03308,0
7712,Q99257,Q07468,0
7713,Q99257,P38247,0
7714,Q99257,P14359,0
7715,P20433,P41318,0
7716,P20433,Q08236,0
7717,P20433,P31412,0
7718,P34087,Q04749,0
7719,P34087,P35845,0
7720,P34087,P32842,0
7721,P47017,Q02948,0
7722,P47017,P38959,0
7723,P47017,P32913,0
7724,P47017,P22203,0
7725,P38989,Q03308,0
7726,P38989,P18962,0
7727,P38989,P25591,0
7728,P38989,P38247,0
7729,P38989,P35845,0
7730,Q12267,P41318,0
7731,Q12267,P18962,0
7732,Q12098,Q03308,0
7733,Q12098,P32912,0
7734,Q12098,P20795,0
7735,Q12098,P14359,0
7736,Q12098,P43601,0
7737,P09959,Q12324,0
7738,P09959,P14904,0
7739,P09959,P41318,0
7740,P09959,P27801,0
7741,P09959,P38182,0
7742,Q08920,Q12527,0
7743,Q08920,P32366,0
7744,P32526,Q07468,0
7745,P32526,Q03308,0
7746,P32526,P32318,0
7747,P32526,P41318,0
7748,P32526,P00729,0
7749,P32526,Q12380,0
7750,Q12386,P31412,0
7751,Q12386,P32366,0
7752,Q12386,P41807,0
7753,Q12386,P43601,0
7754,P38198,Q12380,0
7755,P53267,Q02725,0
7756,P53267,Q04491,0
7757,P32380,P00729,0
7758,P32380,Q12408,0
7759,P32380,Q12527,0
7760,P32380,P32913,0
7761,P38863,P14904,0
7762,P38863,Q12255,0
7763,P38863,P14904,0
7764,P38863,Q12380,0
7765,P53540,Q12241,0
7766,P53540,P14904,0
7767,P53540,P22203,0
7768,P53540,P43601,0
7769,P53540,Q04491,0
7770,P38203,Q12255,0
7771,P38203,P53290,0
7772,P38203,Q12527,0
7773,P32790,P47075,0
7774,P32790,Q99385,0
7775,P32790,P25591,0
7776,Q6WNK7,P25591,0
7777,Q6WNK7,Q07468,0
7778,Q6WNK7,P31412,0
7779,Q6WNK7,P27801,0
7780,Q00684,P32912,0
7781,Q00684,P32366,0
7782,Q00684,P07267,0
7783,P46963,Q04272,0
7784,P46963,P32366,0
7785,P46963,P35845,0
7786,Q03957,P27801,0
7787,Q03957,P22203,0
7788,Q03957,P38247,0
7789,P33322,Q07468,0
7790,P33322,P32366,0
7791,P33322,Q03308,0
7792,P38181,P31412,0
7793,P38181,Q04272,0
7794,P38181,P20795,0
7795,P38181,P00729,0
7796,Q03790,P41318,0
7797,Q03790,P32366,0
7798,Q03790,P38182,0
7799,Q03790,Q12408,0
7800,P52891,Q12527,0
7801,P52891,P32842,0
7802,P52891,Q04491,0
7803,P52891,P27801,0
7804,P14907,Q04491,0
7805,P14907,Q08001,0
7806,P34077,P32912,0
7807,P34077,Q99385,0
7808,P34077,Q12527,0
7809,P34077,P38316,0
7810,P34077,P35845,0
7811,P34077,Q08001,0
7812,P34077,P53011,0
7813,P35729,P53290,0
7814,P35729,P32939,0
7815,P35729,Q12241,0
7816,P35729,Q03308,0
7817,P35729,Q12241,0
7818,P36161,P00729,0
7819,P36161,P47075,0
7820,P36161,P22203,0
7821,P36161,Q02725,0
7822,P36161,Q02948,0
7823,P52593,Q12527,0
7824,P52593,Q07468,0
7825,P52593,Q08001,0
7826,P52593,Q00582,0
7827,P52593,P39968,0
7828,Q02630,Q07468,0
7829,Q02630,P25591,0
7830,Q02630,P53290,0
7831,Q02630,P38247,0
7832,P49686,P38959,0
7833,P40368,P32366,0
7834,P40368,P32842,0
7835,P40368,P53011,0
7836,P40477,Q00582,0
7837,P40477,P38182,0
7838,P40477,P38247,0
7839,P40477,P22855,0
7840,P47054,Q04749,0
7841,P47054,P32842,0
7842,P47054,Q99385,0
7843,P47054,Q07468,0
7844,P06704,Q99385,0
7845,P06704,P32366,0
7846,P06704,P38182,0
7847,P06704,Q02948,0
7848,P06704,P53011,0
7849,P06704,P53290,0
7850,Q12315,P32913,0
7851,Q12315,P38182,0
7852,P12904,Q04491,0
7853,P12904,P32366,0
7854,P12904,P43601,0
7855,P12904,Q04491,0
7856,P12904,Q04491,0
7857,P08153,P38247,0
7858,P08153,P18962,0
7859,P08153,P22203,0
7860,P08153,P53290,0
7861,P08153,P32600,0
7862,P38632,P38247,0
7863,P30822,P32912,0
7864,P30822,P00729,0
7865,P30822,Q12324,0
7866,P30822,P38247,0
7867,P30822,P32913,0
7868,Q08457,Q07468,0
7869,P53886,P32366,0
7870,P57743,Q04272,0
7871,P57743,P43601,0
7872,P57743,P31412,0
7873,P47093,Q02725,0
7874,P47093,P41318,0
7875,P47093,P38959,0
7876,P47093,P00729,0
7877,P47093,P18962,0
7878,P47093,P41807,0
7879,P53905,P38959,0
7880,P53905,P32939,0
7881,P53905,P38959,0
7882,P53905,Q02948,0
7883,P53905,P12868,0
7884,P40070,P43601,0
7885,P40070,Q02725,0
7886,P40070,P38182,0
7887,Q05541,P47075,0
7888,Q05541,Q99385,0
7889,Q05541,Q08236,0
7890,P32628,P17255,0
7891,P32628,P32913,0
7892,P32628,P53290,0
7893,P32628,P53290,0
7894,P32628,P12868,0
7895,P32628,Q99385,0
7896,P34223,Q99385,0
7897,P34223,P17255,0
7898,P34223,P31412,0
7899,P34223,Q04491,0
7900,P40208,P53011,0
7901,P40208,P18962,0
7902,P40026,P32912,0
7903,P40026,Q12408,0
7904,P40026,P32913,0
7905,P40026,Q12241,0
7906,P40026,P32842,0
7907,P40026,P07267,0
7908,P36037,P35845,0
7909,P36037,Q08001,0
7910,P25569,P17255,0
7911,P25569,P32939,0
7912,P40547,P39968,0
7913,P40547,P38959,0
7914,P53076,Q04749,0
7915,P53076,Q99385,0
7916,P53076,P39968,0
7917,P09938,P41807,0
7918,Q03018,P32318,0
7919,Q03018,P53011,0
7920,P38170,P32842,0
7921,P38170,P32600,0
7922,P38170,P41318,0
7923,P38170,P22855,0
7924,P38170,Q12324,0
7925,P38170,P20795,0
7926,P38170,P18962,0
7927,P34160,Q00582,0
7928,P34160,Q12255,0
7929,P34160,P38182,0
7930,P32504,P47075,0
7931,P32504,P31412,0
7932,P32504,P38182,0
7933,P32504,P31412,0
7934,P32504,Q12324,0
7935,P32504,Q12380,0
7936,P36094,Q12527,0
7937,P36094,P32366,0
7938,P36094,P47075,0
7939,P09547,Q12241,0
7940,P09547,Q02725,0
7941,P09547,P32318,0
7942,P49687,Q12380,0
7943,P49687,P32913,0
7944,P49687,P31412,0
7945,Q92328,P38316,0
7946,Q92328,P32939,0
7947,Q07807,Q99385,0
7948,Q07807,P14904,0
7949,Q07807,Q12380,0
7950,P36130,P31412,0
7951,P36130,P14359,0
7952,P36130,P38959,0
7953,P47025,Q12241,0
7954,P47025,P53290,0
7955,P47025,P53011,0
7956,P08417,Q08236,0
7957,P08417,Q03308,0
7958,P08417,Q04272,0
7959,P08417,Q00582,0
7960,Q08686,P22203,0
7961,Q08686,P32912,0
7962,Q08686,P41318,0
7963,Q08686,P53011,0
7964,Q08686,Q04491,0
7965,Q01574,Q00582,0
7966,Q01574,Q12241,0
7967,Q12530,P07267,0
7968,Q12530,P32366,0
7969,Q12530,Q04749,0
7970,P00724,P18962,0
7971,P00724,P43601,0
7972,Q01532,Q03308,0
7973,Q01532,P38316,0
7974,Q01532,P38247,0
7975,Q01532,P38316,0
7976,Q06385,Q00582,0
7977,Q06385,P32318,0
7978,Q06385,P14359,0
7979,Q06385,Q12241,0
7980,Q06385,Q00582,0
7981,P40107,P32913,0
7982,P40107,P41318,0
7983,P40107,Q08236,0
7984,P53271,Q08001,0
7985,P53271,P17255,0
7986,P53271,Q00582,0
7987,P47064,Q04749,0
7988,P46682,P14904,0
7989,P46682,P14359,0
7990,P46682,P27801,0
7991,P46682,Q12380,0
7992,P46682,Q12324,0
7993,Q08951,P38247,0
7994,Q08951,Q04749,0
7995,Q08951,P31412,0
7996,Q08951,P20795,0
7997,Q08951,Q00582,0
7998,P38153,P14359,0
7999,P38153,Q12255,0
8000,P38153,Q12380,0
8001,P38153,Q08236,0
8002,P38753,Q00582,0
8003,P38753,Q12527,0
8004,P40343,P07267,0
8005,P40343,P38959,0
8006,P40343,P35845,0
8007,P41806,P32939,0
8008,P41806,P32366,0
8009,P41806,P39968,0
8010,P32916,P41318,0
8011,P32916,P38247,0
8012,P32916,P38316,0
8013,P48415,P53290,0
8014,P48415,P39968,0
8015,P48415,P18962,0
8016,P48415,P35845,0
8017,P48415,P32912,0
8018,P48415,Q12527,0
8019,P16603,P38959,0
8020,P16603,Q02725,0
8021,P16603,P38316,0
8022,P16603,P00729,0
8023,P16603,P38959,0
8024,P16603,Q07468,0
8025,P38261,P12868,0
8026,P38261,P53011,0
8027,P38261,P07267,0
8028,P07560,Q03308,0
8029,P07560,P32842,0
8030,P07560,P32939,0
8031,P07560,P53011,0
8032,P19658,Q08236,0
8033,P19658,Q08236,0
8034,P19658,P38182,0
8035,P20606,P32912,0
8036,P20606,Q07468,0
8037,P38968,P32318,0
8038,P38968,Q04749,0
8039,P38968,Q12527,0
8040,P38968,P22855,0
8041,P38968,P41318,0
8042,P38968,Q08236,0
8043,P38968,P00729,0
8044,P38968,P41807,0
8045,P15303,P07267,0
8046,P15303,Q04272,0
8047,P15303,P31412,0
8048,P15303,P14904,0
8049,P15303,Q02948,0
8050,P38263,Q03308,0
8051,P38263,Q02725,0
8052,P38263,P32600,0
8053,P46951,P38182,0
8054,P46951,Q04272,0
8055,P46951,P53290,0
8056,P46951,Q04749,0
8057,P46951,Q07468,0
8058,P46951,P17255,0
8059,P38862,P22855,0
8060,P38862,Q02205,0
8061,P38862,Q04491,0
8062,P39108,P38182,0
8063,P39108,P31412,0
8064,P39108,P41807,0
8065,P47112,Q08001,0
8066,P47112,P14359,0
8067,P47112,P38316,0
8068,P47112,P35845,0
8069,P47112,P20795,0
8070,P47112,Q04491,0
8071,P47112,P32912,0
8072,P32357,Q12324,0
8073,P32357,P14904,0
8074,P32357,P22203,0
8075,P32357,Q00582,0
8076,P32357,Q08236,0
8077,Q03497,P41318,0
8078,Q03497,Q04491,0
8079,Q03497,Q12255,0
8080,Q03497,Q12241,0
8081,Q03497,Q07468,0
8082,P39984,P18962,0
8083,P40084,P32318,0
8084,P40084,P22855,0
8085,P40084,Q04749,0
8086,P41920,Q04272,0
8087,P41920,Q00582,0
8088,P41920,Q12527,0
8089,P41920,P17255,0
8090,P31539,Q12527,0
8091,P31539,P07267,0
8092,P30771,P53290,0
8093,P30771,P32913,0
8094,P30771,P07267,0
8095,P30771,P22203,0
8096,Q05583,Q03308,0
8097,Q05583,P32913,0
8098,P04147,P35845,0
8099,P04147,P14359,0
8100,P04147,Q12241,0
8101,P40160,Q12324,0
8102,P40160,P38247,0
8103,P40160,P41318,0
8104,P40160,P32912,0
8105,P40160,P32842,0
8106,P40160,P32366,0
8107,P36421,P38247,0
8108,Q04377,Q12380,0
8109,Q04377,P53011,0
8110,Q04377,P32913,0
8111,Q04377,Q03308,0
8112,Q04377,Q02725,0
8113,Q04377,Q99385,0
8114,Q04377,P32842,0
8115,Q07688,Q02205,0
8116,Q07688,Q04491,0
8117,P07278,P43601,0
8118,P07278,Q04491,0
8119,P25644,Q07468,0
8120,P25644,P32939,0
8121,P25644,P14359,0
8122,P40484,Q12527,0
8123,P40484,P32842,0
8124,Q02793,P14904,0
8125,Q02793,Q02948,0
8126,Q02793,P14359,0
8127,P25293,P38959,0
8128,P25293,Q12380,0
8129,P25293,P38247,0
8130,P40554,Q99385,0
8131,P40554,P14359,0
8132,P40554,P12868,0
8133,P40554,Q12324,0
8134,P40554,P32842,0
8135,P53082,P43601,0
8136,P53082,P38959,0
8137,P53082,P32366,0
8138,P40565,P22855,0
8139,P40565,P14359,0
8140,P22141,P47075,0
8141,P22141,P18962,0
8142,P22141,P14904,0
8143,P22141,P32913,0
8144,P22141,P32366,0
8145,P22141,P41807,0
8146,P25451,P41318,0
8147,P25451,P32366,0
8148,P25451,Q99385,0
8149,P38624,P41807,0
8150,P38624,Q04749,0
8151,P38624,Q12255,0
8152,P38624,Q12255,0
8153,P38624,Q12527,0
8154,P53930,P07267,0
8155,P53930,P38247,0
8156,P53930,P39968,0
8157,P40302,Q02725,0
8158,P40302,Q12527,0
8159,P40302,Q04749,0
8160,P40302,P14359,0
8161,P40302,P35845,0
8162,P23724,P07267,0
8163,P23724,P39968,0
8164,P23724,P35845,0
8165,P23639,P38316,0
8166,P23639,P32939,0
8167,P23639,Q04749,0
8168,P23638,P00729,0
8169,P23638,P31412,0
8170,P23638,P41807,0
8171,P23638,Q04491,0
8172,P32379,Q12380,0
8173,P32379,Q00582,0
8174,P32379,P53290,0
8175,P46947,P17255,0
8176,P29496,P07257,0
8177,P29496,P21954,0
8178,P29496,P08417,0
8179,P29496,P47025,0
8180,P38111,Q12287,0
8181,P15938,P09457,0
8182,P15938,P53299,0
8183,P15938,P27692,0
8184,P40090,Q03713,0
8185,P40090,P38169,0
8186,Q04002,P53260,0
8187,P34078,Q92328,0
8188,P19880,P32830,0
8189,P19880,P32897,0
8190,P43563,P17695,0
8191,P43563,P53220,0
8192,Q99257,P00420,0
8193,Q99257,P08417,0
8194,Q99257,Q08749,0
8195,Q99257,P33421,0
8196,P20433,P53299,0
8197,P20433,P00045,0
8198,P20433,P36152,0
8199,P20433,P33448,0
8200,P34087,Q04311,0
8201,P34087,P38885,0
8202,P34087,P00427,0
8203,P34087,Q08952,0
8204,P47017,P14693,0
8205,P47017,Q01519,0
8206,P47017,Q12339,0
8207,P38989,P49334,0
8208,P38989,P00830,0
8209,P38989,P14908,0
8210,Q12267,P18239,0
8211,Q12267,P12689,0
8212,Q12267,P38077,0
8213,Q12098,P00445,0
8214,P09959,P08417,0
8215,P09959,Q08742,0
8216,P09959,P21954,0
8217,P09959,P07884,0
8218,P09959,P07257,0
8219,Q08920,Q07540,0
8220,Q08920,P07236,0
8221,Q08920,Q92328,0
8222,P32526,P49017,0
8223,Q12386,P53615,0
8224,Q12386,P49017,0
8225,P38198,P23644,0
8226,P53267,P35731,0
8227,P53267,Q04311,0
8228,P53267,Q06324,0
8229,P32380,Q08742,0
8230,P32380,Q04311,0
8231,P32380,P35731,0
8232,P38863,P13433,0
8233,P38863,P53721,0
8234,P53540,P46655,0
8235,P53540,Q07540,0
8236,P53540,P38169,0
8237,P38203,P09624,0
8238,P38203,P40513,0
8239,P38203,P53615,0
8240,P38203,P49334,0
8241,P38203,P07170,0
8242,P38203,P00854,0
8243,P20050,Q08162,0
8244,P20050,Q01519,0
8245,P20050,P32445,0
8246,P20050,P07170,0
8247,P20050,P33421,0
8248,P38859,P16603,0
8249,P38859,P04819,0
8250,P31380,P00045,0
8251,P31380,Q01532,0
8252,P31380,P40051,0
8253,P31380,P53721,0
8254,P53061,P00427,0
8255,P53061,P04039,0
8256,P32558,P40513,0
8257,P32558,Q12349,0
8258,P32558,P38884,0
8259,P32558,P00854,0
8260,P32558,P28241,0
8261,P32558,P13433,0
8262,P32908,P00427,0
8263,P32908,P35197,0
8264,P32908,P53507,0
8265,P47037,P36152,0
8266,P02309,P47039,0
8267,P02309,Q03713,0
8268,P02309,P40515,0
8269,P02309,Q92328,0
8270,P02293,P36152,0
8271,P02293,Q06324,0
8272,P02293,P08417,0
8273,P40161,P00410,0
8274,P40161,P00447,0
8275,P40161,Q07540,0
8276,P40161,P38825,0
8277,P09119,P28737,0
8278,Q12749,Q08749,0
8279,P29539,P53220,0
8280,P29539,P17695,0
8281,P29539,P00127,0
8282,P21691,P16622,0
8283,P21691,P14908,0
8284,P35201,Q01519,0
8285,P35201,P28737,0
8286,P36012,P00420,0
8287,P36012,P21375,0
8288,P40568,P07342,0
8289,P40568,P07251,0
8290,P16522,Q07540,0
8291,P16522,Q03557,0
8292,P47167,P07236,0
8293,P47167,P49017,0
8294,P47167,P57744,0
8295,P38265,Q02486,0
8296,P38265,P00424,0
8297,P38265,P07342,0
8298,Q06675,P04039,0
8299,Q06675,P32445,0
8300,Q06675,P00854,0
8301,Q06675,P53220,0
8302,Q02732,P00175,0
8303,Q02732,Q08686,0
8304,Q02732,P14908,0
8305,Q02732,Q01852,0
8306,P33895,P07257,0
8307,P40460,P81450,0
8308,P40460,P36146,0
8309,Q12748,P53615,0
8310,Q12748,P32897,0
8311,P46995,P32830,0
8312,P46995,Q12328,0
8313,P46995,P00175,0
8314,P46995,P28241,0
8315,P32790,P09624,0
8316,P32790,Q08162,0
8317,P32790,P00854,0
8318,P32790,Q02784,0
8319,P32790,P27692,0
8320,P54999,P08417,0
8321,P54999,Q01574,0
8322,P54999,Q12165,0
8323,P54999,P32897,0
8324,P40089,P07251,0
8325,P40089,Q08749,0
8326,P40089,P14908,0
8327,Q06217,P00447,0
8328,Q06217,Q08742,0
8329,P40567,P00420,0
8330,P40567,Q06892,0
8331,P38902,Q08952,0
8332,P38902,Q01852,0
8333,P26755,P04819,0
8334,P26755,P00128,0
8335,P26755,Q05776,0
8336,Q06819,Q03557,0
8337,Q02260,P34111,0
8338,Q02260,P36775,0
8339,Q02260,Q12208,0
8340,Q02260,P16622,0
8341,Q02260,P07170,0
8342,P38210,P28241,0
8343,P34232,P21306,0
8344,P34232,P00431,0
8345,P34232,Q08686,0
8346,P40018,P32830,0
8347,P40018,P53507,0
8348,P40018,P34111,0
8349,Q12030,Q01217,0
8350,Q12030,Q07540,0
8351,Q12030,Q92328,0
8352,P35718,P08417,0
8353,P35718,P49334,0
8354,P20434,P09457,0
8355,Q12159,P35731,0
8356,Q12159,Q08749,0
8357,Q12159,Q03020,0
8358,P13393,P16603,0
8359,P35189,P40185,0
8360,P35189,P32266,0
8361,P33411,P36146,0
8362,P33411,P34111,0
8363,P33411,P08417,0
8364,P17890,P53299,0
8365,P17890,Q03020,0
8366,P17890,Q07807,0
8367,P26754,P16603,0
8368,P26754,Q08742,0
8369,P32524,P08525,0
8370,P03069,P00175,0
8371,P03069,P07342,0
8372,P11746,P21375,0
8373,P25299,P00431,0
8374,P25299,P38825,0
8375,P25299,Q12165,0
8376,P10962,P38885,0
8377,P10962,P04037,0
8378,P10962,Q04311,0
8379,P10962,P38077,0
8380,P07273,P40515,0
8381,P07273,Q03713,0
8382,P32910,P38077,0
8383,P32910,P17695,0
8384,P32910,P00431,0
8385,P32910,P00410,0
8386,P16370,P34227,0
8387,P16370,Q04311,0
8388,P16370,P36130,0
8389,P18888,P49334,0
8390,P18888,P81450,0
8391,P18888,Q01532,0
8392,P29055,P32830,0
8393,P29055,Q12349,0
8394,P29055,P07271,0
8395,P28519,P40185,0
